h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
4.2,1.7411011265922485,61.11264954338791,0.1837917367995256,0.7719252945580075,0.4589049928213155,1.4146220241788487,2.0,99.14435840809777,85.73228623372522,350.0,1.9999999891437938,0.0010856206063181162,completed,,186,The solver successfully reached the end of the integration interval.
4.4,1.7411011265922485,61.11264954338791,0.1837917367995256,0.8086836419179126,0.4589049928213155,1.4513803715387539,2.0,99.1981569637208,86.95094657339332,350.0,1.9999999888045734,0.0011195426632184535,completed,,187,The solver successfully reached the end of the integration interval.
4.6,1.7411011265922485,61.11264954338791,0.1837917367995256,0.8454419892778177,0.4589049928213155,1.4881387188986588,2.0,99.24610376367127,88.03530870146129,350.0,1.9999999884603754,0.001153962453827262,completed,,187,The solver successfully reached the end of the integration interval.
4.800000000000001,1.7411011265922485,61.11264954338791,0.1837917367995256,0.882200336637723,0.4589049928213155,1.5248970662585641,2.0,99.28904525577867,88.9976590331007,350.0,1.9999999881115882,0.0011888411827385426,completed,,199,The solver successfully reached the end of the integration interval.
5.0,1.7411011265922485,61.11264954338791,0.1837917367995256,0.918958683997628,0.4589049928213155,1.5616554136184693,2.0,99.32748692886324,89.85022046836782,350.0,1.9999999877585672,0.0012241432850714773,completed,,199,The solver successfully reached the end of the integration interval.
1.0,2.0000000000000004,70.2,0.15999999999999998,0.15999999999999998,0.39949999999999997,0.7194999999999999,2.0,53.466734419468665,32.88733002775508,350.0,1.9999999945514317,0.0005448568263091147,completed,,234,The solver successfully reached the end of the integration interval.
1.2,2.0000000000000004,70.2,0.15999999999999998,0.19199999999999998,0.39949999999999997,0.7515,2.0,63.58655522411239,39.299458329295284,350.0,1.9999999944211342,0.0005578865821007639,completed,,237,The solver successfully reached the end of the integration interval.
1.4,2.0000000000000004,70.2,0.15999999999999998,0.22399999999999995,0.39949999999999997,0.7834999999999999,2.0,72.71116509139642,45.34874372667289,350.0,1.999999994281579,0.0005718421016354114,completed,,223,The solver successfully reached the end of the integration interval.
1.6,2.0000000000000004,70.2,0.15999999999999998,0.25599999999999995,0.39949999999999997,0.8154999999999999,2.0,80.56885829103166,50.934908541333954,350.0,1.9999999941308986,0.000586910144193098,completed,,218,The solver successfully reached the end of the integration interval.
1.8,2.0000000000000004,70.2,0.15999999999999998,0.288,0.39949999999999997,0.8474999999999999,2.0,86.9276747177349,55.97021763989388,350.0,1.9999999939675137,0.0006032486271578819,completed,,215,The solver successfully reached the end of the integration interval.
