inlet_temperature_c,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_methane_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,status,terminal_event,solver_function_evaluations,message
265.0,5.0,98.75267887374832,93.22005175694696,473.3739020822077,4.9478881939358335,completed,,585,The solver successfully reached the end of the integration interval.
272.5,5.0,98.7065072910376,93.36686817641188,480.70336026114467,4.946914031958859,completed,,599,The solver successfully reached the end of the integration interval.
280.0,5.0,98.58901595189825,93.15636838087667,487.9107808472402,4.946042274044375,completed,,622,The solver successfully reached the end of the integration interval.
287.5,5.0,98.4212467081095,92.73953042013018,494.9436736930502,4.945257028084685,completed,,613,The solver successfully reached the end of the integration interval.
295.0,5.0,98.21833980800719,92.22501411314906,501.7773655614187,4.944542232034938,completed,,619,The solver successfully reached the end of the integration interval.
302.5,5.0,97.98633135527724,91.65992529712148,508.4080139391202,4.943883515242749,completed,,628,The solver successfully reached the end of the integration interval.
310.0,5.0,97.72573001991783,91.0571915305842,514.8438451509109,4.943269319946745,completed,,624,The solver successfully reached the end of the integration interval.
317.5,5.0,97.4354859539107,90.42058782205446,521.0987899665288,4.942690751282619,completed,,603,The solver successfully reached the end of the integration interval.
325.0,5.0,97.11439186588943,89.75256639775776,527.1898487765945,4.942140980266692,completed,,583,The solver successfully reached the end of the integration interval.
332.5,5.0,96.76130399078254,89.05530326451992,533.1329782934702,4.941614719081601,completed,,579,The solver successfully reached the end of the integration interval.
340.0,5.0,96.37516872641127,88.33075449032965,538.9442261736297,4.941107836830462,completed,,562,The solver successfully reached the end of the integration interval.
347.5,5.0,95.95503841062384,87.5806647192768,544.6356430281759,4.940617079692673,completed,,554,The solver successfully reached the end of the integration interval.
350.0,5.0,95.80729244294243,87.32523150048557,546.5072630350063,4.940456614678426,completed,,544,The solver successfully reached the end of the integration interval.
355.0,5.0,95.50007883253093,86.8065809973351,550.2187061873722,4.9401398640411465,completed,,546,The solver successfully reached the end of the integration interval.
362.5,5.0,95.00958175440992,86.00987433159027,555.7045548915247,4.939674121891776,completed,,569,The solver successfully reached the end of the integration interval.
370.0,5.0,94.48297240371846,85.19176228210364,561.102506842654,4.939218184270915,completed,,561,The solver successfully reached the end of the integration interval.
377.5,5.0,93.91981581234349,84.35333274580043,566.4182042999854,4.938770692897837,completed,,551,The solver successfully reached the end of the integration interval.
385.0,5.0,93.31982134443089,83.49556623973639,571.6588201041783,4.938330532487406,completed,,556,The solver successfully reached the end of the integration interval.
