panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.3666666666666667,N2,0.799,0.24888888888888888,0.3666666666666667,0.799,1.4145555555555556,46.12501727710629,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.3666666666666667,N2,0.799,0.2577777777777778,0.3666666666666667,0.799,1.4234444444444445,44.887085134406775,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.3666666666666667,N2,0.799,0.26666666666666666,0.3666666666666667,0.799,1.4323333333333335,43.70733383495083,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.3666666666666667,N2,0.799,0.27555555555555555,0.3666666666666667,0.799,1.4412222222222222,42.58204568257589,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.3666666666666667,N2,0.799,0.28444444444444444,0.3666666666666667,0.799,1.4501111111111111,41.507771282173906,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.3666666666666667,N2,0.799,0.29333333333333333,0.3666666666666667,0.799,1.459,40.48132610616369,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.3666666666666667,N2,0.799,0.3022222222222222,0.3666666666666667,0.799,1.467888888888889,39.49975361089238,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.3666666666666667,N2,0.799,0.3111111111111111,0.3666666666666667,0.799,1.476777777777778,38.56031382432563,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.3666666666666667,N2,0.799,0.32,0.3666666666666667,0.799,1.4856666666666667,37.66046918239898,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.3666666666666667,N2,0.799,0.3288888888888889,0.3666666666666667,0.799,1.4945555555555556,36.79786861573296,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.3666666666666667,N2,0.799,0.3377777777777778,0.3666666666666667,0.799,1.5034444444444446,35.97036195505906,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.3666666666666667,N2,0.799,0.3466666666666667,0.3666666666666667,0.799,1.5123333333333333,35.17591778673864,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.3666666666666667,N2,0.799,0.35555555555555557,0.3666666666666667,0.799,1.5212222222222223,34.412655675941465,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.3666666666666667,N2,0.799,0.36444444444444446,0.3666666666666667,0.799,1.5301111111111112,33.678832353031126,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.3666666666666667,N2,0.799,0.37333333333333335,0.3666666666666667,0.799,1.5390000000000001,32.97282688982439,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.3666666666666667,N2,0.799,0.38222222222222224,0.3666666666666667,0.799,1.547888888888889,32.29313279851054,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.3666666666666667,N2,0.799,0.39111111111111113,0.3666666666666667,0.799,1.5567777777777778,31.638377927286975,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.3666666666666667,N2,0.799,0.4,0.3666666666666667,0.799,1.5656666666666668,31.00723040426081,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.399,N2,0.799,0.24,0.399,0.799,1.4380000000000002,51.23222760321791,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.399,N2,0.799,0.24888888888888888,0.399,0.799,1.446888888888889,49.871946455285226,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.399,N2,0.799,0.2577777777777778,0.399,0.799,1.4557777777777778,48.573331920729075,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.399,N2,0.799,0.26666666666666666,0.399,0.799,1.4646666666666668,47.332784963266825,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.399,N2,0.799,0.27555555555555555,0.399,0.799,1.4735555555555555,46.14693509819159,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.399,N2,0.799,0.28444444444444444,0.399,0.799,1.4824444444444445,45.01257507042597,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.399,N2,0.799,0.29333333333333333,0.399,0.799,1.4913333333333334,43.92670954899921,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.399,N2,0.799,0.3022222222222222,0.399,0.799,1.5002222222222223,42.886545830650604,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.399,N2,0.799,0.3111111111111111,0.399,0.799,1.5091111111111113,41.88945886183499,completed,The solver successfully reached the end of the integration interval.
