catalyst_mass_kg,bed_length_m,temperature_k,pressure_bar,co_conversion,methane_yield,flow_CO_mol_s,flow_H2_mol_s,flow_CH4_mol_s,flow_H2O_mol_s,flow_CO2_mol_s,flow_N2_mol_s,concentration_CO_mol_m3,concentration_H2_mol_m3,concentration_CH4_mol_m3,concentration_H2O_mol_m3,concentration_CO2_mol_m3,concentration_N2_mol_m3,intrinsic_r1_co2_methanation_mol_kg_s,intrinsic_r2_co_methanation_mol_kg_s,intrinsic_wgs_mol_kg_s
0.0006552,0.001724071650878291,623.15,1.0,0.4300025250203542,0.36500060383561705,5.066644222041295e-05,0.0001748333430824729,3.2444498118721505e-05,2.6666549568968907e-05,5.777948549908413e-06,0.00022194444444444442,1.9087150731722125,6.586352279934863,1.2222548078531041,1.0045869194912276,0.2176678883677463,8.36112993043882,0.00033939426090282676,0.024285060442479144,0.009582273826747638
0.000663,0.0017445963133887468,623.15,1.0,0.4329586636161876,0.36714800396193564,5.0403674345227755e-05,0.00017433259091274484,3.2635378129949825e-05,2.6785541716240352e-05,5.8498364138652875e-06,0.00022194444444444442,1.900231974829818,6.5723852042681274,1.2303624654114924,1.00982207137756,0.22054039403980655,8.367364789331168,0.0003386024737178702,0.023981478352333902,0.009528493441562856
0.0006708,0.0017651209758992028,623.15,1.0,0.43588368734302574,0.36926894279386163,5.0143672236175475e-05,0.00017383848143711232,3.2823906026121025e-05,2.6902595399530468e-05,5.921310626746369e-06,0.00022194444444444442,1.8918231667628298,6.5585875902471145,1.2383820943824442,1.014982568152665,0.22339952623565787,8.37353195347726,0.0003377961083567203,0.02368355010403498,0.009474611787908618
0.0006786,0.0017856456384096587,623.15,1.0,0.4387780804758858,0.3713639113782627,4.988639284658792e-05,0.00017335088310780171,3.3010125455845566e-05,2.7017754869392003e-05,5.99237058660938e-06,0.00022194444444444442,1.8834877418891431,6.54495634477477,1.2463151393909695,1.0200699470566372,0.22624519234021526,8.379632533806241,0.00033697610497935383,0.023391143841322733,0.009420658220243485
0.0006864,0.0018061703009201143,623.15,1.0,0.4416423151365804,0.37343338531486514,4.9631794210081727e-05,0.00017286966878907151,3.319407869465467e-05,2.7131062710504004e-05,6.063015984306477e-06,0.00022194444444444442,1.8752248114974892,6.531488478866462,1.2541630008284586,1.025085688856616,0.22907731197772982,8.385667607231218,0.0003361433778005696,0.02310413167087661,0.00936666040878251
0.0006942,0.0018266949634305701,623.15,1.0,0.4444768580062592,0.3754778333318114,4.937983484388806e-05,0.00017239471330479536,3.3375807407272115e-05,2.7242560769545238e-05,6.133246637882692e-06,0.00022194444444444442,1.8670334887552522,6.518181035679431,1.2619270668001328,1.0300312554100512,0.23189581139597262,8.391638241217134,0.00033529878121729565,0.02282238850173871,0.009312644453441349
0.0007019999999999999,0.001847219625941026,623.15,1.0,0.4472821643893145,0.37749770994110515,4.913047427650536e-05,0.00017192589552220697,3.355535199476489e-05,2.7352289377148097e-05,6.2030626177726094e-06,0.00022194444444444442,1.85891290421623,6.505031153505378,1.2696086847754138,1.0349080572045668,0.2347006275767425,8.397545471979642,0.0003344431442901427,0.022545792942220668,0.009258634939216026
0.0007098,0.001867744288451482,623.15,1.0,0.4500586829221542,0.37949346138649803,4.888367262914184e-05,0.00017146309665565303,3.373275212324426e-05,2.7460287986743307e-05,6.272464136656767e-06,0.00022194444444444442,1.8508621942653474,6.492036016181473,1.2772091836695738,1.039717479165074,0.23749170451039917,8.403390321466102,0.00033357724859119667,0.022274226486408786,0.009204655025727876
0.0007176,0.0018882689509619377,623.15,1.0,0.4528068534078087,0.38146552304440057,4.863939080819477e-05,0.00017100620099823473,3.39080464928356e-05,2.7566594904978913e-05,6.341451588012497e-06,0.00022194444444444442,1.8428805070604442,6.479192875767094,1.2847298635084448,1.044460869108136,0.24026899440621238,8.409173789407639,0.000332701841962917,0.02200757379909862,0.009150726512350828
0.0007254,0.0019087936134723935,623.15,1.0,0.4555271067519129,0.3834143194421326,4.8397590510941067e-05,0.00017055509590962814,3.4081272839300667e-05,2.767124730065535e-05,6.410025538801131e-06,0.00022194444444444442,1.8349670031302598,6.466499053070296,1.2921719950223254,1.049139537652833,0.24303245737539986,8.41489685300686,0.0003318176410147536,0.02174572266224232,0.00909686990836429
0.0007332,0.0019293182759828496,623.15,1.0,0.45821986855007774,0.3853402686525855,4.815823390665974e-05,0.0001701096705724151,3.425246832467426e-05,2.7774281667121212e-05,6.478186657708863e-06,0.00022194444444444442,1.8271208464468895,6.453951901298668,1.2995368359972086,1.0537547769596902,0.2457820590434301,8.420560479512085,0.00033092531625172433,0.021488563378129523,0.00904310449459402
0.000741,0.0019498429384933054,623.15,1.0,0.460885552245883,0.38724377416316824,4.7921284244810385e-05,0.00016966981827494615,3.4421668814503835e-05,2.7875732984931008e-05,6.545935829728644e-06,0.00022194444444444442,1.8193412226098318,6.441548875096303,1.3068255997757832,1.0583078256180458,0.2485177741636531,8.426165601994356,0.0003300255266832912,0.021235989737375727,0.00898944839332251
0.0007488,0.0019703676010037613,623.15,1.0,0.46352456717194146,0.3891252345623713,4.768670514027186e-05,0.00016923543368199028,3.458890973887744e-05,2.797563572913968e-05,6.6132740098935705e-06,0.00022194444444444442,1.8116273182649039,6.429287449716937,1.3140394918798979,1.0627999100306096,0.25123958185520745,8.431713147510415,0.0003291188840875297,0.020987897764896384,0.008935918616118773
0.0007566,0.001990892263514217,623.15,1.0,0.4661373146226286,0.39098503889319597,4.7454460922433e-05,0.00016880641413775813,3.475422567939519e-05,2.8074023392336322e-05,6.680202287214677e-06,0.00022194444444444442,1.8039783316656706,6.417165160688631,1.321179691871908,1.0672322242840748,0.25394746759375625,8.437204023153937,0.0003282059736988438,0.020744186256564337,0.008882531123694807
0.0007643999999999999,0.0020114169260246726,623.15,1.0,0.46872418590110604,0.3928235644612882,4.722451680879056e-05,0.00016838266027163447,3.491765017433672e-05,2.817092826857693e-05,6.7467219059155955e-06,0.00022194444444444442,1.796393478215102,6.405179622720211,1.3282473445254788,1.071605920751677,0.2566414237797287,8.442639109265773,0.000327287364429572,0.02050475699821624,0.00882930089015793
0.0007722,0.002031941588535129,623.15,1.0,0.4712855689176092,0.3946411845985559,4.6996838318434726e-05,0.0001679640738242951,3.5079216408760514e-05,2.826638224706869e-05,6.8128341618476334e-06,0.00022194444444444442,1.7888719733676308,6.393328465227286,1.3352435892844892,1.0759221428400472,0.25932144645037253,8.448019282088149,0.0003263635817324546,0.02026951377381157,0.008776241927920087
0.00078,0.0020524662510455847,623.15,1.0,0.47382184161180957,0.396438261063714,4.6771391856728025e-05,0.00016755055976505671,3.523895653899679e-05,2.8360416045834543e-05,6.878540493318059e-06,0.00022194444444444442,1.781413050343405,6.381609396447308,1.3421695307111712,1.0801819927013925,0.26198753801571323,8.453345391038985,0.0003254351380799054,0.020038363250328876,0.008723367363616478
0.0007878,0.0020729909135560405,623.15,1.0,0.47633337500455275,0.39821514764624816,4.6548144444039746e-05,0.00016714202528173285,3.539690201299983e-05,2.845305958115234e-05,6.943842432003298e-06,0.00022194444444444442,1.774015952379605,6.370020173828782,1.3490262519781278,1.0843865463134446,0.26463970567062123,8.458618269087394,0.0003245025213567896,0.019811214493526037,0.008670689472739686
0.0007956,0.0020935155760664964,623.15,1.0,0.4788205362456906,0.39997219368013,4.632706344482749e-05,0.00016673837880223157,3.555308388267821e-05,2.854434232129685e-05,7.008741561537171e-06,0.00022194444444444442,1.766679924846927,6.3585585752104175,1.355814828123741,1.0885368680242593,0.26727796010542343,8.463838742947203,0.00032356618414422023,0.01958797850974134,0.008618219702977268
0.0008034,0.0021140402385769522,623.15,1.0,0.4812836816472219,0.40170973616902583,4.6108117186913595e-05,0.00016633953217520472,3.5707532103913396e-05,2.8634292505853324e-05,7.073239598215883e-06,0.00022194444444444442,1.7594042342035563,6.347222464931971,1.362536295331863,1.0926339775270664,0.2699023178107419,8.469007609452774,0.0003226265737390167,0.01936856914666391,0.008565968761162161
0.0008112,0.002134564901087408,623.15,1.0,0.4837231632684151,0.40342810730833156,4.589127437614087e-05,0.00016594539858089095,3.586027620518502e-05,2.8722937897623854e-05,7.137338307716979e-06,0.00022194444444444442,1.7521881506281287,6.336009731642376,1.3691916796637214,1.0966788811079504,0.2725127985617202,8.474125657654078,0.00032168410690665083,0.019152902154414602,0.008513946610885835
0.000819,0.0021550895635978635,623.15,1.0,0.48613932779264973,0.4051276332260198,4.56765041962089e-05,0.0001655558928789782,3.6011345175646195e-05,2.8810305658614237e-05,7.2010395171877705e-06,0.00022194444444444442,1.7450309512533846,6.324918299246403,1.3757819919368433,1.100672566214582,0.275109425728214,8.479193664878547,0.00032073917621435583,0.018940895302743024,0.008462162515113753
0.0008267999999999999,0.0021756142261083193,623.15,1.0,0.4885325122098132,0.4068086292171942,4.546377669246104e-05,0.00016517093291919743,3.616076704152836e-05,2.88964218866307e-05,7.2643451550534694e-06,0.00022194444444444442,1.7379319321355051,6.313946166915897,1.382308208952787,1.1046159816626597,0.27769222729608345,8.48421238229504,0.0003197921679975388,0.018732468900349703,0.008410625109166106
0.0008346,0.0021961388886187756,623.15,1.0,0.49090305025204756,0.40847140695746137,4.5253062199817984e-05,0.00016479043754863437,3.630856950732989e-05,2.8981312325590703e-05,7.327257181894998e-06,0.00022194444444444442,1.7308903910764801,6.303091349591968,1.3887713011877143,1.1085100673110488,0.2802612338826253,8.489182556208135,0.0003188434389125969,0.018527544912391832,0.008359342382511969
0.0008424,0.0022166635511292315,623.15,1.0,0.49325126907178246,0.41011627083155056,4.504433163806377e-05,0.0001644143276218235,3.645477962947115e-05,2.9065002008119023e-05,7.389777621507942e-06,0.00022194444444444442,1.7239056368534713,6.292351908874241,1.395172218303954,1.1123557387765388,0.2828164795333786,8.494104916916386,0.0003178933300996018,0.01832604735666482,0.008308321738569678
0.0008502,0.002237188213639687,623.15,1.0,0.4955774878960272,0.41174351651546803,4.483755663146424e-05,0.0001640425263852524,3.6599423690263815e-05,2.914751512310482e-05,7.451908567314809e-06,0.00022194444444444442,1.7169769931688608,6.281725965128181,1.4015118833510396,1.116153881571983,0.28535800178502324,8.498980174252884,0.00031694217314045495,0.018127902428241506,0.008257570041422548
