h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
3.2,0.5,17.549999999999997,0.64,2.048,1.598,4.2860000000000005,1.0,66.04865891854355,52.92680690328297,350.0,0.9999998422863324,0.015771366757689975,completed,,131,The solver successfully reached the end of the integration interval.
3.4000000000000004,0.5,17.549999999999997,0.64,2.176,1.598,4.414000000000001,1.0,67.40399034726988,54.48308874914011,350.0,0.9999998369152022,0.016308479782310314,completed,,127,The solver successfully reached the end of the integration interval.
3.6,0.5,17.549999999999997,0.64,2.3040000000000003,1.598,4.542000000000001,1.0,68.51700828362567,55.85252098068567,350.0,0.9999998314481594,0.01685518406156916,completed,,126,The solver successfully reached the end of the integration interval.
3.8000000000000003,0.5,17.549999999999997,0.64,2.4320000000000004,1.598,4.670000000000001,1.0,69.4163666519675,57.05028388238367,350.0,0.9999998258918815,0.017410811851732433,completed,,125,The solver successfully reached the end of the integration interval.
4.0,0.5,17.549999999999997,0.64,2.56,1.598,4.798,1.0,70.12838231381922,58.09120936091391,350.0,0.9999998202525916,0.017974740840145387,completed,,124,The solver successfully reached the end of the integration interval.
4.2,0.5,17.549999999999997,0.64,2.688,1.598,4.926,1.0,70.67682742532483,58.9894939507556,350.0,0.9999998145360138,0.0185463986126706,completed,,121,The solver successfully reached the end of the integration interval.
4.4,0.5,17.549999999999997,0.64,2.8160000000000003,1.598,5.054,1.0,71.08290693951294,59.75851535768803,350.0,0.999999808747357,0.01912526429805439,completed,,119,The solver successfully reached the end of the integration interval.
4.6,0.5,17.549999999999997,0.64,2.944,1.598,5.182,1.0,71.36535039250782,60.41071236385315,350.0,0.9999998028913292,0.019710867083631456,completed,,116,The solver successfully reached the end of the integration interval.
4.800000000000001,0.5,17.549999999999997,0.64,3.0720000000000005,1.598,5.3100000000000005,1.0,71.54059169913866,60.95754180331666,350.0,0.9999997969721559,0.020302784410887398,completed,,116,The solver successfully reached the end of the integration interval.
5.0,0.5,17.549999999999997,0.64,3.2,1.598,5.438000000000001,1.0,71.62300187901283,61.40950585248639,350.0,0.9999997909936175,0.020900638250168413,completed,,115,The solver successfully reached the end of the integration interval.
1.0,0.5743491774985175,20.159656130197963,0.5571523605095194,0.5571523605095194,1.3911398001472064,2.505444521166245,1.0,28.658728080437186,21.124045686643743,350.0,0.9999999163181083,0.008368189170141704,completed,,189,The solver successfully reached the end of the integration interval.
