panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.3111111111111111,N2,0.799,0.35555555555555557,0.3111111111111111,0.799,1.4656666666666667,42.83751215407665,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.3111111111111111,N2,0.799,0.36444444444444446,0.3111111111111111,0.799,1.4745555555555556,41.9039317842021,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.3111111111111111,N2,0.799,0.37333333333333335,0.3111111111111111,0.799,1.4834444444444446,41.00655572439283,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.3111111111111111,N2,0.799,0.38222222222222224,0.3111111111111111,0.799,1.4923333333333333,40.14342434358046,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.3111111111111111,N2,0.799,0.39111111111111113,0.3111111111111111,0.799,1.5012222222222222,39.312709751036415,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.3111111111111111,N2,0.799,0.4,0.3111111111111111,0.799,1.5101111111111112,38.5127036036404,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.3666666666666667,N2,0.799,0.24,0.3666666666666667,0.799,1.4056666666666668,68.69992854724686,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.3666666666666667,N2,0.799,0.24888888888888888,0.3666666666666667,0.799,1.4145555555555556,66.95204968555115,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.3666666666666667,N2,0.799,0.2577777777777778,0.3666666666666667,0.799,1.4234444444444445,65.2685393517609,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.3666666666666667,N2,0.799,0.26666666666666666,0.3666666666666667,0.799,1.4323333333333335,63.64834929736075,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.3666666666666667,N2,0.799,0.27555555555555555,0.3666666666666667,0.799,1.4412222222222222,62.08994998322085,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.3666666666666667,N2,0.799,0.28444444444444444,0.3666666666666667,0.799,1.4501111111111111,60.59146613677221,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.3666666666666667,N2,0.799,0.29333333333333333,0.3666666666666667,0.799,1.459,59.15082199488197,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.3666666666666667,N2,0.799,0.3022222222222222,0.3666666666666667,0.799,1.467888888888889,57.76578674288907,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.3666666666666667,N2,0.799,0.3111111111111111,0.3666666666666667,0.799,1.476777777777778,56.43407063778903,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.3666666666666667,N2,0.799,0.32,0.3666666666666667,0.799,1.4856666666666667,55.15337608979309,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.3666666666666667,N2,0.799,0.3288888888888889,0.3666666666666667,0.799,1.4945555555555556,53.92142774046944,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.3666666666666667,N2,0.799,0.3377777777777778,0.3666666666666667,0.799,1.5034444444444446,52.73599402532896,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.3666666666666667,N2,0.799,0.3466666666666667,0.3666666666666667,0.799,1.5123333333333333,51.59492716212624,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.3666666666666667,N2,0.799,0.35555555555555557,0.3666666666666667,0.799,1.5212222222222223,50.49613215753032,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.3666666666666667,N2,0.799,0.36444444444444446,0.3666666666666667,0.799,1.5301111111111112,49.437610652075854,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.3666666666666667,N2,0.799,0.37333333333333335,0.3666666666666667,0.799,1.5390000000000001,48.41745403334593,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.3666666666666667,N2,0.799,0.38222222222222224,0.3666666666666667,0.799,1.547888888888889,47.43383347365577,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.3666666666666667,N2,0.799,0.39111111111111113,0.3666666666666667,0.799,1.5567777777777778,46.48501510266328,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.3666666666666667,N2,0.799,0.4,0.3666666666666667,0.799,1.5656666666666668,45.56935168703713,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.399,N2,0.799,0.24,0.399,0.799,1.4380000000000002,73.53364380434924,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.399,N2,0.799,0.24888888888888888,0.399,0.799,1.446888888888889,71.78287656372574,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.399,N2,0.799,0.2577777777777778,0.399,0.799,1.4557777777777778,70.08378984087122,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.399,N2,0.799,0.26666666666666666,0.399,0.799,1.4646666666666668,68.4377844665585,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.399,N2,0.799,0.27555555555555555,0.399,0.799,1.4735555555555555,66.84535908457686,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.399,N2,0.799,0.28444444444444444,0.399,0.799,1.4824444444444445,65.30635591677428,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.399,N2,0.799,0.29333333333333333,0.399,0.799,1.4913333333333334,63.819980243243194,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.399,N2,0.799,0.3022222222222222,0.399,0.799,1.5002222222222223,62.385216951622,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.399,N2,0.799,0.3111111111111111,0.399,0.799,1.5091111111111113,61.00050953501306,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.399,N2,0.799,0.32,0.399,0.799,1.518,59.66450585690253,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.399,N2,0.799,0.3288888888888889,0.399,0.799,1.526888888888889,58.375570869677716,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.399,N2,0.799,0.3377777777777778,0.399,0.799,1.535777777777778,57.13188446090282,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.399,N2,0.799,0.3466666666666667,0.399,0.799,1.5446666666666666,55.93178814656087,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.399,N2,0.799,0.35555555555555557,0.399,0.799,1.5535555555555556,54.77356264710673,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.399,N2,0.799,0.36444444444444446,0.399,0.799,1.5624444444444445,53.6554737955215,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.399,N2,0.799,0.37333333333333335,0.399,0.799,1.5713333333333335,52.57586464643591,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.399,N2,0.799,0.38222222222222224,0.399,0.799,1.5802222222222224,51.533110208858155,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.399,N2,0.799,0.39111111111111113,0.399,0.799,1.5891111111111111,50.525638430864085,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.399,N2,0.799,0.4,0.399,0.799,1.598,49.55192192194758,completed,The solver successfully reached the end of the integration interval.
