case_id,h2_co_molar_ratio,inlet_temperature_c,inlet_pressure_bar_abs,catalyst_space_time_kg_s_mol_co,space_time_multiple_of_experiment1,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,outlet_co_conversion_pct,outlet_ch4_yield_pct,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
2493,1.4,340.0,2.0,70.2,2.0000000000000004,0.15999999999999998,0.22399999999999995,0.39949999999999997,0.7834999999999999,69.54393436822374,44.12956340841856,1.9999999943320672,0.000566793285543099,completed,,335,The solver successfully reached the end of the integration interval.
2494,1.4,340.0,2.0,80.63862452079185,2.29739670999407,0.13928809012737986,0.1950033261783318,0.3477849500368016,0.6820763663425133,70.82681204948813,44.68193743106221,1.9999999953593357,0.0004640664265025407,completed,,331,The solver successfully reached the end of the integration interval.
2495,1.4,340.0,2.0,92.6294553362572,2.6390158215457893,0.12125732532083182,0.16976025544916454,0.302764384160452,0.5937819649304483,72.07961404376184,45.21733500714127,1.9999999961824584,0.00038175415829755366,completed,,337,The solver successfully reached the end of the integration interval.
2496,1.4,340.0,2.0,106.40330296902994,3.0314331330207964,0.10556063286183154,0.14778488600656414,0.26357170517688566,0.5169172240452813,73.30297967308503,45.73652559406201,1.9999999968452111,0.0003154788864776492,completed,,349,The solver successfully reached the end of the integration interval.
2497,1.4,340.0,2.0,122.22529908677583,3.4822022531844974,0.09189586839976278,0.1286542157596679,0.2294524964106577,0.45000258057008835,74.49739780242027,46.240175659919586,1.9999999973814544,0.00026185455499216914,completed,,359,The solver successfully reached the end of the integration interval.
2498,1.4,340.0,2.0,140.39999999999998,4.0,0.08,0.11199999999999999,0.19975,0.39175000000000004,75.66329383640435,46.72889518115023,1.9999999978174625,0.0002182537573389709,completed,,368,The solver successfully reached the end of the integration interval.
2499,1.4,340.0,3.0,8.774999999999999,0.25,1.28,1.7919999999999998,3.196,6.268000000000001,57.826018065543806,38.85175636048508,2.999999872665386,0.01273346139350906,completed,,210,The solver successfully reached the end of the integration interval.
2500,1.4,340.0,3.0,10.07982806509898,0.2871745887492587,1.114304721019039,1.5600266094266546,2.7822796002944132,5.456610930740107,59.75993780633365,39.75542962503248,2.999999902053133,0.009794686688110232,completed,,221,The solver successfully reached the end of the integration interval.
2501,1.4,340.0,3.0,11.578681917032144,0.32987697769322355,0.9700586025666549,1.3580820435933167,2.4221150732836167,4.750255719443588,61.61064560170819,40.60713807769082,2.9999999244513793,0.007554862066172063,completed,,233,The solver successfully reached the end of the integration interval.
2502,1.4,340.0,3.0,13.300412871128742,0.37892914162759955,0.8444850628946523,1.1822790880525131,2.1085736414150853,4.13533779236225,63.38384732161001,41.41182749390323,2.999999941552814,0.0058447186020202935,completed,,247,The solver successfully reached the end of the integration interval.
2503,1.4,340.0,3.0,15.278162385846976,0.43527528164806206,0.7351669471981024,1.0292337260773432,1.835619971285262,3.6000206445607077,65.08493332789705,42.17391983412948,2.999999954635891,0.004536410910077393,completed,,261,The solver successfully reached the end of the integration interval.
2504,1.4,340.0,3.0,17.549999999999997,0.5,0.64,0.8959999999999999,1.598,3.1340000000000003,66.71883490344065,42.89731088755857,2.9999999646667512,0.0035333248670212924,completed,,289,The solver successfully reached the end of the integration interval.
2505,1.4,340.0,3.0,20.159656130197963,0.5743491774985175,0.5571523605095194,0.7800133047133272,1.3911398001472064,2.7283054653700534,68.29002951573322,43.58542863846181,2.999999972376033,0.0027623967034742236,completed,,301,The solver successfully reached the end of the integration interval.
2506,1.4,340.0,3.0,23.157363834064295,0.6597539553864472,0.48502930128332733,0.6790410217966583,1.211057536641808,2.3751278597217933,69.80255366599296,44.241290078703656,2.9999999783167346,0.0021683265222236514,completed,,314,The solver successfully reached the end of the integration interval.
2507,1.4,340.0,3.0,26.600825742257484,0.7578582832551991,0.42224253144732615,0.5911395440262566,1.0542868207075426,2.067668896181125,71.25995902154035,44.867515802425444,2.9999999829078114,0.0017092188354581594,completed,,326,The solver successfully reached the end of the integration interval.
2508,1.4,340.0,3.0,30.55632477169395,0.8705505632961241,0.3675834735990512,0.5146168630386716,0.917809985642631,1.8000103222803538,72.66540620719444,45.46641006739286,2.99999998646699,0.0013533009914681315,completed,,332,The solver successfully reached the end of the integration interval.
2509,1.4,340.0,3.0,35.099999999999994,1.0,0.32,0.44799999999999995,0.799,1.5670000000000002,74.02163593451603,46.03996896327116,2.9999999892355453,0.0010764454491436481,completed,,337,The solver successfully reached the end of the integration interval.
2510,1.4,340.0,3.0,40.31931226039592,1.1486983549970349,0.2785761802547598,0.39000665235666365,0.6955699000736033,1.3641527326850267,75.33107370738156,46.58995277010395,2.9999999913969355,0.0008603064343333244,completed,,324,The solver successfully reached the end of the integration interval.
2511,1.4,340.0,3.0,46.3147276681286,1.3195079107728946,0.24251465064166364,0.3395205108983291,0.605528768320904,1.1875639298608966,76.59582611310624,47.117901756600375,2.9999999930908525,0.0006909147487021983,completed,,329,The solver successfully reached the end of the integration interval.
2512,1.4,340.0,3.0,53.201651484514976,1.5157165665103984,0.21112126572366305,0.29556977201312823,0.5271434103537712,1.0338344480905626,77.81771065477268,47.62516114271512,2.999999994423858,0.0005576141993515193,completed,,323,The solver successfully reached the end of the integration interval.
2513,1.4,340.0,3.0,61.11264954338791,1.7411011265922485,0.1837917367995256,0.2573084315193358,0.4589049928213155,0.9000051611401769,78.99825974315256,48.11288832256779,2.9999999954773866,0.00045226135989651084,completed,,333,The solver successfully reached the end of the integration interval.
2514,1.4,340.0,3.0,70.2,2.0000000000000004,0.15999999999999998,0.22399999999999995,0.39949999999999997,0.7834999999999999,80.13883045413645,48.582126021670746,2.999999996313781,0.0003686218988150358,completed,,342,The solver successfully reached the end of the integration interval.
2515,1.4,340.0,3.0,80.63862452079185,2.29739670999407,0.13928809012737986,0.1950033261783318,0.3477849500368016,0.6820763663425133,81.24055122386308,49.03377338292149,2.9999999969809035,0.0003019096329808235,completed,,365,The solver successfully reached the end of the integration interval.
2516,1.4,340.0,3.0,92.6294553362572,2.6390158215457893,0.12125732532083182,0.16976025544916454,0.302764384160452,0.5937819649304483,82.30435763515105,49.46861719770793,2.999999997515564,0.0002484436263330281,completed,,374,The solver successfully reached the end of the integration interval.
2517,1.4,340.0,3.0,106.40330296902994,3.0314331330207964,0.10556063286183154,0.14778488600656414,0.26357170517688566,0.5169172240452813,83.33106858203593,49.88736257977743,2.9999999979461456,0.00020538544049486518,completed,,382,The solver successfully reached the end of the integration interval.
2518,1.4,340.0,3.0,122.22529908677583,3.4822022531844974,0.09189586839976278,0.1286542157596679,0.2294524964106577,0.45000258057008835,84.32133370095052,50.29061916785476,2.999999998294627,0.00017053732881322503,completed,,397,The solver successfully reached the end of the integration interval.
2519,1.4,340.0,3.0,140.39999999999998,4.0,0.08,0.11199999999999999,0.19975,0.39175000000000004,85.27570447639039,50.67893375690953,2.9999999985780463,0.0001421953784301877,completed,,394,The solver successfully reached the end of the integration interval.
2520,1.4,340.0,4.0,8.774999999999999,0.25,1.28,1.7919999999999998,3.196,6.268000000000001,66.25058131098818,42.6908352394655,3.9999999061587173,0.009384128265082836,completed,,214,The solver successfully reached the end of the integration interval.
2521,1.4,340.0,4.0,10.07982806509898,0.2871745887492587,1.114304721019039,1.5600266094266546,2.7822796002944132,5.456610930740107,68.11783118118998,43.51036753271744,3.999999927826464,0.007217353617306799,completed,,242,The solver successfully reached the end of the integration interval.
2522,1.4,340.0,4.0,11.578681917032144,0.32987697769322355,0.9700586025666549,1.3580820435933167,2.4221150732836167,4.750255719443588,69.8860055865254,44.27730475358096,3.999999944335318,0.005566468229517341,completed,,251,The solver successfully reached the end of the integration interval.
2523,1.4,340.0,4.0,13.300412871128742,0.37892914162759955,0.8444850628946523,1.1822790880525131,2.1085736414150853,4.13533779236225,71.563394288759,44.99723093646417,3.9999999569368647,0.004306313523557037,completed,,263,The solver successfully reached the end of the integration interval.
2524,1.4,340.0,4.0,15.278162385846976,0.43527528164806206,0.7351669471981024,1.0292337260773432,1.835619971285262,3.6000206445607077,73.1573433054623,45.67494314164644,3.9999999665755777,0.003342442214488983,completed,,276,The solver successfully reached the end of the integration interval.
2525,1.4,340.0,4.0,17.549999999999997,0.5,0.64,0.8959999999999999,1.598,3.1340000000000003,74.67433397311599,46.31457271588933,3.9999999739646848,0.0026035315240733325,completed,,287,The solver successfully reached the end of the integration interval.
2526,1.4,340.0,4.0,20.159656130197963,0.5743491774985175,0.5571523605095194,0.7800133047133272,1.3911398001472064,2.7283054653700534,76.12002926577821,46.91966442498213,3.999999979643217,0.0020356783061288297,completed,,298,The solver successfully reached the end of the integration interval.
2527,1.4,340.0,4.0,23.157363834064295,0.6597539553864472,0.48502930128332733,0.6790410217966583,1.211057536641808,2.3751278597217933,77.49937027933673,47.493270677440194,3.9999999840189306,0.0015981069300323725,completed,,310,The solver successfully reached the end of the integration interval.
2528,1.4,340.0,4.0,26.600825742257484,0.7578582832551991,0.42224253144732615,0.5911395440262566,1.0542868207075426,2.067668896181125,78.81661367150262,48.03800239319622,3.9999999874006074,0.0012599392794072628,completed,,307,The solver successfully reached the end of the integration interval.
2529,1.4,340.0,4.0,30.55632477169395,0.8705505632961241,0.3675834735990512,0.5146168630386716,0.917809985642631,1.8000103222803538,80.0754958436663,48.55613550983115,3.999999990022358,0.0009977641748264432,completed,,314,The solver successfully reached the end of the integration interval.
2530,1.4,340.0,4.0,35.099999999999994,1.0,0.32,0.44799999999999995,0.799,1.5670000000000002,81.27919451181603,49.04961135716033,3.999999992061893,0.0007938107009977102,completed,,316,The solver successfully reached the end of the integration interval.
2531,1.4,340.0,4.0,40.31931226039592,1.1486983549970349,0.2785761802547598,0.39000665235666365,0.6955699000736033,1.3641527326850267,82.43049182448414,49.52013103018696,3.999999993654322,0.0006345678120851517,completed,,335,The solver successfully reached the end of the integration interval.
2532,1.4,340.0,4.0,46.3147276681286,1.3195079107728946,0.24251465064166364,0.3395205108983291,0.605528768320904,1.1875639298608966,83.53172209967599,49.96914074190531,3.9999999949025056,0.000509749457705766,completed,,329,The solver successfully reached the end of the integration interval.
2533,1.4,340.0,4.0,53.201651484514976,1.5157165665103984,0.21112126572366305,0.29556977201312823,0.5271434103537712,1.0338344480905626,84.58495655296113,50.39793219184907,3.999999995884903,0.000411509710829705,completed,,334,The solver successfully reached the end of the integration interval.
2534,1.4,340.0,4.0,61.11264954338791,1.7411011265922485,0.1837917367995256,0.2573084315193358,0.4589049928213155,0.9000051611401769,85.59192068161863,50.80760730216899,3.9999999966614648,0.0003338535316288471,completed,,343,The solver successfully reached the end of the integration interval.
2535,1.4,340.0,4.0,70.2,2.0000000000000004,0.15999999999999998,0.22399999999999995,0.39949999999999997,0.7834999999999999,86.5541211436975,51.1991442199337,3.9999999972781013,0.0002721898490563035,completed,,353,The solver successfully reached the end of the integration interval.
2536,1.4,340.0,4.0,80.63862452079185,2.29739670999407,0.13928809012737986,0.1950033261783318,0.3477849500368016,0.6820763663425133,87.47283219816676,51.57339806847839,3.999999997770037,0.00022299628471955657,completed,,389,The solver successfully reached the end of the integration interval.
2537,1.4,340.0,4.0,92.6294553362572,2.6390158215457893,0.12125732532083182,0.16976025544916454,0.302764384160452,0.5937819649304483,88.34912726795095,51.931114937644416,3.999999998164381,0.0001835619332268834,completed,,398,The solver successfully reached the end of the integration interval.
2538,1.4,340.0,4.0,106.40330296902994,3.0314331330207964,0.10556063286183154,0.14778488600656414,0.26357170517688566,0.5169172240452813,89.18395459162697,52.27297153446775,3.9999999984820396,0.0001517960336059332,completed,,405,The solver successfully reached the end of the integration interval.
2539,1.4,340.0,4.0,122.22529908677583,3.4822022531844974,0.09189586839976278,0.1286542157596679,0.2294524964106577,0.45000258057008835,89.97810531732046,52.59956243461134,3.999999998739185,0.00012608151882886887,completed,,413,The solver successfully reached the end of the integration interval.
2540,1.4,340.0,4.0,140.39999999999998,4.0,0.08,0.11199999999999999,0.19975,0.39175000000000004,90.73228196916992,52.91143118483954,3.9999999989483768,0.00010516232578083873,completed,,423,The solver successfully reached the end of the integration interval.
2541,1.4,340.0,5.0,8.774999999999999,0.25,1.28,1.7919999999999998,3.196,6.268000000000001,72.48258479376726,45.388782250710044,4.999999925890017,0.007410998339764774,completed,,209,The solver successfully reached the end of the integration interval.
2542,1.4,340.0,5.0,10.07982806509898,0.2871745887492587,1.114304721019039,1.5600266094266546,2.7822796002944132,5.456610930740107,74.25150106192802,46.13679010608381,4.999999943004468,0.005699553177691996,completed,,217,The solver successfully reached the end of the integration interval.
2543,1.4,340.0,5.0,11.578681917032144,0.32987697769322355,0.9700586025666549,1.3580820435933167,2.4221150732836167,4.750255719443588,75.91128088673696,46.832549585816786,4.999999956041619,0.004395838070195168,completed,,226,The solver successfully reached the end of the integration interval.
