catalyst_mass_kg,bed_length_m,temperature_k,pressure_bar,co_conversion,methane_yield,flow_CO_mol_s,flow_H2_mol_s,flow_CH4_mol_s,flow_H2O_mol_s,flow_CO2_mol_s,flow_N2_mol_s,concentration_CO_mol_m3,concentration_H2_mol_m3,concentration_CH4_mol_m3,concentration_H2O_mol_m3,concentration_CO2_mol_m3,concentration_N2_mol_m3
0.8397916404822381,0.08839200000000003,789.658058089942,4.999873581259642,0.9675558484015768,0.8909389984191265,5.407358599737186e-05,0.0023396664246962693,0.0014848983306985442,0.00135720358090459,0.0001276947499456646,0.041666666666666664,0.08755764705481242,3.788461284027055,2.404393967100727,2.197626621695615,0.20676734565076635,67.46797399617314
0.8470312235898436,0.08915400000000002,789.3952363828198,4.999872513932109,0.967759781184824,0.8913351781255106,5.3733698025293344e-05,0.0023373651146257864,0.0014855586302091844,0.0013581842919537922,0.00012737433840710275,0.041666666666666664,0.0870386834932782,3.7861005271660364,2.4063310767224872,2.200008133764825,0.2063229432034052,67.49231758649513
0.8542708066974491,0.08991600000000002,789.13268648261,4.999871446989384,0.9679625249556969,0.8917302107804463,5.339579174050521e-05,0.0023350694698776697,0.0014862170179674107,0.0013591631611854565,0.0001270538569336647,0.041666666666666664,0.08652251798688601,3.7837455653805327,2.408265417140619,2.2023874022186916,0.20587801516775928,67.51664875839784
0.8615103898050546,0.09067800000000002,788.870408468478,4.999870380430995,0.9681640854857979,0.8921240982770313,5.3059857523670075e-05,0.002332779487450605,0.0014868734971283856,0.001360140185290571,0.00012673331198952498,0.041666666666666664,0.08600913867051682,3.7813964037572156,2.4101969882407253,2.2047644164105082,0.20543257207613724,67.54096747570108
0.8687499729126601,0.09144000000000002,788.6084024195893,4.999869314256466,0.9683644685467296,0.8925168425083632,5.272588575545058e-05,0.002330495164343279,0.001487528070847272,0.0013611153609601244,0.000126412710038858,0.041666666666666664,0.08549853365418704,3.779053047372011,2.412125789915932,2.207139165684854,0.20498662447708604,67.56527370219709
0.8759895560202656,0.09220200000000003,788.3466684151095,4.999868248465324,0.9685636799100944,0.8929084453675397,5.239386681650935e-05,0.0023282164975543767,0.0014881807422792328,0.001362088684885105,0.00012609205754583836,0.041666666666666664,0.08499069102306138,3.7767155012900675,2.4140518220668907,2.2095116393776144,0.2045401829353736,67.58956740165048
0.8832291391278712,0.09296400000000003,788.0852065342041,4.9998671830570975,0.9687617253474946,0.8932989087476586,5.206379108750901e-05,0.002325943484082584,0.001488831514579431,0.0013630601537565012,0.00012577136097464048,0.041666666666666664,0.08448559883746602,3.77438377056574,2.4159750846017958,2.21188182681601,0.20409325803197098,67.61384853779852
0.8904687222354766,0.09372600000000002,787.8240168560385,4.999866118031309,0.9689586106305327,0.8936882345418177,5.1735648949112206e-05,0.002323676120926587,0.0014894803909030296,0.0013640297642653011,0.00012545062678943883,0.041666666666666664,0.0839832451329017,3.7720578602425463,2.417895577436378,2.214249717318617,0.2036458603640344,67.63811707435092
0.8977083053430821,0.09448800000000003,787.5630994597782,4.999865053387487,0.969154341530811,0.8940764246431145,5.140943078198155e-05,0.0023214144050850718,0.001490127374405191,0.0013649975131024936,0.00012512986145440797,0.041666666666666664,0.08348361792005711,3.7697377753531494,2.419813300493927,2.2166153001954014,0.2031980005448882,67.66237297499025
0.9049478884506876,0.09525000000000003,787.3024544245887,4.999863989125158,0.9693489238199322,0.894463480944647,5.1085126966779677e-05,0.002319158333556724,0.0014907724682410785,0.0013659633969590667,0.00012480907143372236,0.041666666666666664,0.08298670518482235,3.767423520919323,2.4217282537052895,2.2189785647477343,0.20274968920400574,67.68661620337173
0.9121874715582932,0.09601200000000003,787.0420818296357,4.999862925243848,0.9695423632694985,0.8948494053395128,5.0762727884169225e-05,0.0023169079033402286,0.0014914156755658548,0.0013669274125260088,0.00012448826319155646,0.041666666666666664,0.08249249488830264,3.7651151019519284,2.423640437008879,2.2213395002684257,0.20230093698699209,67.71084672312351
0.9194270546658986,0.09677400000000003,786.7819817540844,4.999861861743082,0.9697346656511123,0.8952341997208098,5.0442223914812814e-05,0.002314663111434273,0.001492056999534683,0.0013678895564943085,0.00012416744319208482,0.041666666666666664,0.08200097496683198,3.7628125234508825,2.425549850350685,2.2236980960417463,0.2018517545555656,67.73506449784658
0.9266666377735041,0.09753600000000003,786.5221542771004,4.999860798622388,0.9699258367363761,0.8956178659816353,5.012360543937308e-05,0.002312423954837542,0.0014926964433027256,0.0013688498255549541,0.0001238466178994819,0.041666666666666664,0.08151213333198724,3.760515790405131,2.427456493684281,2.2260543413434557,0.20140215258753957,67.75926949111506
0.9339062208811096,0.09829800000000002,786.2625994778492,4.999859735881291,0.9701158822968925,0.8960004060150873,4.980686283851265e-05,0.002310190430548722,0.0014933340100251457,0.001369808216398934,0.0001235257937779222,0.041666666666666664,0.0810259578706021,3.7582249077926195,2.429360366970827,2.228408225440827,0.20095214177680365,67.78346166647607
0.9411458039887151,0.09906000000000002,786.0033174354965,4.999858673519317,0.9703048081042636,0.8963818217142637,4.949198649289416e-05,0.0023079625355664985,0.0014939697028571062,0.0013707647257172365,0.0001232049772915802,0.041666666666666664,0.0805424364447813,3.7559398805802657,2.431261470179085,2.2307597375926713,0.20050173283330536,67.80764098744991
0.9483853870963206,0.09982200000000002,785.7443082292074,4.999857611535994,0.9704926199300918,0.896762114972262,4.917896678318023e-05,0.0023057402668895575,0.00149460352495377,0.00137171935020085,0.00012288417490463038,0.041666666666666664,0.08006155689191512,3.753660713723932,2.4331598032854225,2.2331088670493697,0.20005093648303168,67.8318074175302
0.9556249702039261,0.10058400000000003,785.4855715004567,4.999856549930877,0.9706793180606368,0.8971412868293971,4.88678032322722e-05,0.002303523618059564,0.0014952354780489953,0.0013726720928403924,0.00012256338536031314,0.041666666666666664,0.07958332195275694,3.7513874084020276,2.4350553651688003,2.235455614422597,0.19959975099326946,67.85596095389201
0.9628645533115316,0.10134600000000003,785.2271074535354,4.9998554887034725,0.9708649099528042,0.8975193393769975,4.855848341199303e-05,0.0023013125875625076,0.0014958655656283292,0.0013736229481787813,0.00012224261760125833,0.041666666666666664,0.07910771484309846,3.7491199714191366,2.436948156006653,2.2377999651369933,0.1991481911168149,67.88010155018587
0.9701041364191371,0.10210800000000002,784.9689162882299,4.999854427853297,0.9710494029520275,0.8978962747359759,4.825099507995422e-05,0.0022991071735013573,0.0014964937912266265,0.0013745719110433371,0.00012192188033499987,0.041666666666666664,0.07863471905119916,3.74685840897786,2.438838176082675,2.240141905083075,0.19869627124684233,67.90422916053997
