total_catalyst_mass_g,conversion_percent,derived_uniform_bed_voidage_percent
52.68303618,99.46130714,80.125
52.78243813,99.46172511,80.0875
52.88184009,99.46214196,80.05
52.98124204,99.4625577,80.0125
53.080644,99.46297233,79.975
53.18004595,99.46338586,79.9375
53.27944791,99.46379828,79.9
53.37884986,99.46420961,79.8625
53.47825182,99.46461985,79.825
53.57765377,99.46502901,79.7875
53.67705573,99.46543708,79.75
53.77645768,99.46584408,79.7125
53.87585964,99.46625001,79.675
53.97526159,99.46665487,79.6375
54.07466355,99.46705867,79.6
54.1740655,99.46746141,79.5625
54.27346746,99.4678631,79.525
54.37286942,99.46826375,79.4875
54.47227137,99.46866335,79.45
54.57167333,99.46906191,79.4125
54.67107528,99.46945944,79.375
54.77047724,99.46985594,79.3375
54.86987919,99.47025141,79.3
54.96928115,99.47064587,79.2625
55.0686831,99.47103931,79.225
55.16808506,99.47143174,79.1875
55.26748701,99.47182316,79.15
55.36688897,99.47221358,79.1125
55.46629092,99.472603,79.075
55.56569288,99.47299142,79.0375
55.66509483,99.47337886,79
55.76449679,99.47376531,78.9625
55.86389874,99.47415078,78.925
55.9633007,99.47453527,78.8875
56.06270265,99.47491879,78.85
56.16210461,99.47530134,78.8125
56.26150656,99.47568293,78.775
56.36090852,99.47606356,78.7375
56.46031047,99.47644323,78.7
56.55971243,99.47682194,78.6625
56.65911438,99.47719971,78.625
56.75851634,99.47757654,78.5875
56.85791829,99.47795242,78.55
56.95732025,99.47832737,78.5125
57.0567222,99.47870139,78.475
57.15612416,99.47907447,78.4375
57.25552611,99.47944664,78.4
57.35492807,99.47981788,78.3625
57.45433002,99.4801882,78.325
57.55373198,99.48055761,78.2875
57.65313393,99.48092611,78.25
57.75253589,99.48129371,78.2125
57.85193784,99.4816604,78.175
57.9513398,99.4820262,78.1375
58.05074175,99.4823911,78.1
58.15014371,99.48275511,78.0625
58.24954566,99.48311824,78.025
58.34894762,99.48348048,77.9875
58.44834957,99.48384184,77.95
58.54775153,99.48420233,77.9125
58.64715348,99.48456194,77.875
58.74655544,99.48492068,77.8375
58.84595739,99.48527856,77.8
58.94535935,99.48563558,77.7625
59.0447613,99.48599173,77.725
59.14416326,99.48634704,77.6875
59.24356521,99.48670149,77.65
59.34296717,99.48705509,77.6125
59.44236912,99.48740785,77.575
59.54177108,99.48775976,77.5375
59.64117303,99.48811084,77.5
59.74057499,99.48846109,77.4625
59.83997694,99.4888105,77.425
59.9393789,99.48915909,77.3875
60.03878085,99.48950685,77.35
60.13818281,99.48985379,77.3125
60.23758476,99.49019991,77.275
60.33698672,99.49054522,77.2375
60.43638867,99.49088972,77.2
60.53579063,99.4912334,77.1625
60.63519258,99.49157629,77.125
60.73459454,99.49191837,77.0875
60.83399649,99.49225965,77.05
60.93339845,99.49260013,77.0125
61.0328004,99.49293983,76.975
61.13220236,99.49327873,76.9375
61.23160431,99.49361685,76.9
61.33100627,99.49395418,76.8625
61.43040822,99.49429074,76.825
61.52981018,99.49462652,76.7875
61.62921213,99.49496152,76.75
61.72861409,99.49529575,76.7125
61.82801604,99.49562922,76.675
61.927418,99.49596192,76.6375
62.02681995,99.49629386,76.6
62.12622191,99.49662504,76.5625
62.22562386,99.49695546,76.525
62.32502582,99.49728513,76.4875
62.42442777,99.49761405,76.45
62.52382973,99.49794222,76.4125
62.62323168,99.49826965,76.375
62.72263364,99.49859633,76.3375
62.82203559,99.49892227,76.3
62.92143755,99.49924748,76.2625
63.0208395,99.49957196,76.225
63.12024146,99.4998957,76.1875
63.21964341,99.50021872,76.15
63.31904537,99.50054101,76.1125
63.41844733,99.50086258,76.075
63.51784928,99.50118344,76.0375
63.61725124,99.50150357,76
63.71665319,99.50182299,75.9625
63.81605515,99.5021417,75.925
63.9154571,99.5024597,75.8875
64.01485906,99.502777,75.85
64.11426101,99.50309359,75.8125
64.21366297,99.50340948,75.775
64.31306492,99.50372467,75.7375
64.41246688,99.50403916,75.7
64.51186883,99.50435296,75.6625
64.61127079,99.50466608,75.625
64.71067274,99.5049785,75.5875
64.8100747,99.50529024,75.55
64.90947665,99.5056013,75.5125
65.00887861,99.50591167,75.475
65.10828056,99.50622137,75.4375
65.20768252,99.50653039,75.4
65.30708447,99.50683874,75.3625
65.40648643,99.50714642,75.325
65.50588838,99.50745343,75.2875
65.60529034,99.50775978,75.25
65.70469229,99.50806547,75.2125
65.80409425,99.50837049,75.175
65.9034962,99.50867485,75.1375
66.00289816,99.50897856,75.1
66.10230011,99.50928162,75.0625
66.20170207,99.50958403,75.025
66.30110402,99.50988578,74.9875
66.40050598,99.51018689,74.95
66.49990793,99.51048736,74.9125
66.59930989,99.51078718,74.875
66.69871184,99.51108637,74.8375
66.7981138,99.51138492,74.8
66.89751575,99.51168283,74.7625
66.99691771,99.51198011,74.725
67.09631966,99.51227676,74.6875
67.19572162,99.51257278,74.65
67.29512357,99.51286818,74.6125
67.39452553,99.51316296,74.575
67.49392748,99.51345711,74.5375
67.59332944,99.51375064,74.5
67.69273139,99.51404356,74.4625
67.79213335,99.51433587,74.425
67.8915353,99.51462756,74.3875
67.99093726,99.51491864,74.35
68.09033921,99.51520911,74.3125
68.18974117,99.51549897,74.275
68.28914312,99.51578824,74.2375
68.38854508,99.5160769,74.2
68.48794703,99.51636496,74.1625
68.58734899,99.51665242,74.125
68.68675094,99.51693929,74.0875
68.7861529,99.51722556,74.05
68.88555485,99.51751125,74.0125
68.98495681,99.51779634,73.975
69.08435876,99.51808085,73.9375
69.18376072,99.51836477,73.9
69.28316267,99.51864811,73.8625
69.38256463,99.51893087,73.825
69.48196658,99.51921305,73.7875
69.58136854,99.51949465,73.75
69.68077049,99.51977568,73.7125
69.78017245,99.52005613,73.675
69.8795744,99.52033601,73.6375
69.97897636,99.52061533,73.6
70.07837831,99.52089407,73.5625
70.17778027,99.52117226,73.525
70.27718222,99.52144987,73.4875
70.37658418,99.52172693,73.45
70.47598613,99.52200343,73.4125
70.57538809,99.52227937,73.375
70.67479004,99.52255475,73.3375
70.774192,99.52282958,73.3
70.87359395,99.52310386,73.2625
70.97299591,99.52337759,73.225
71.07239786,99.52365077,73.1875
71.17179982,99.5239234,73.15
71.27120177,99.52419549,73.1125
71.37060373,99.52446704,73.075
71.47000568,99.52473805,73.0375
71.56940764,99.52500852,73
71.66880959,99.52527845,72.9625
71.76821155,99.52554784,72.925
71.8676135,99.52581671,72.8875
71.96701546,99.52608504,72.85
72.06641741,99.52635284,72.8125
72.16581937,99.52662011,72.775
72.26522132,99.52688685,72.7375
72.36462328,99.52715307,72.7
72.46402524,99.52741877,72.6625
72.56342719,99.52768395,72.625
72.66282915,99.52794861,72.5875
72.7622311,99.52821274,72.55
72.86163306,99.52847637,72.5125
72.96103501,99.52873948,72.475
73.06043697,99.52900207,72.4375
73.15983892,99.52926416,72.4
73.25924088,99.52952573,72.3625
73.35864283,99.5297868,72.325
73.45804479,99.53004737,72.2875
73.55744674,99.53030743,72.25
73.6568487,99.53056698,72.2125
73.75625065,99.53082604,72.175
73.85565261,99.53108459,72.1375
73.95505456,99.53134265,72.1
74.05445652,99.53160021,72.0625
74.15385847,99.53185728,72.025
74.25326043,99.53211386,71.9875
74.35266238,99.53236994,71.95
74.45206434,99.53262553,71.9125
74.55146629,99.53288064,71.875
74.65086825,99.53313525,71.8375
74.7502702,99.53338939,71.8
74.84967216,99.53364304,71.7625
74.94907411,99.53389621,71.725
75.04847607,99.53414889,71.6875
75.14787802,99.5344011,71.65
75.24727998,99.53465283,71.6125
75.34668193,99.53490409,71.575
75.44608389,99.53515487,71.5375
75.54548584,99.53540518,71.5
75.6448878,99.53565502,71.4625
75.74428975,99.53590439,71.425
75.84369171,99.53615329,71.3875
75.94309366,99.53640172,71.35
76.04249562,99.53664969,71.3125
76.14189757,99.5368972,71.275
76.24129953,99.53714424,71.2375
76.34070148,99.53739082,71.2
76.44010344,99.53763694,71.1625
76.53950539,99.53788261,71.125
76.63890735,99.53812782,71.0875
76.7383093,99.53837257,71.05
76.83771126,99.53861687,71.0125
76.93711321,99.53886071,70.975
77.03651517,99.53910411,70.9375
77.13591712,99.53934706,70.9
77.23531908,99.53958955,70.8625
77.33472103,99.53983161,70.825
77.43412299,99.54007321,70.7875
77.53352494,99.54031438,70.75
77.6329269,99.5405551,70.7125
77.73232885,99.54079538,70.675
77.83173081,99.54103522,70.6375
77.93113276,99.54127462,70.6
78.03053472,99.54151358,70.5625
78.12993667,99.54175211,70.525
78.22933863,99.54199021,70.4875
78.32874058,99.54222787,70.45
78.42814254,99.5424651,70.4125
78.52754449,99.5427019,70.375
78.62694645,99.54293827,70.3375
78.7263484,99.54317421,70.3
78.82575036,99.54340973,70.2625
78.92515231,99.54364482,70.225
79.02455427,99.54387949,70.1875
79.12395622,99.54411374,70.15
79.22335818,99.54434756,70.1125
79.32276013,99.54458096,70.075
79.42216209,99.54481395,70.0375
79.52156404,99.54504652,70
79.620966,99.54527867,69.9625
79.72036795,99.54551041,69.925
79.81976991,99.54574173,69.8875
79.91917186,99.54597264,69.85
80.01857382,99.54620314,69.8125
80.11797577,99.54643323,69.775
80.21737773,99.54666292,69.7375
80.31677968,99.54689219,69.7
80.41618164,99.54712106,69.6625
80.51558359,99.54734952,69.625
80.61498555,99.54757758,69.5875
80.7143875,99.54780524,69.55
80.81378946,99.5480325,69.5125
80.91319141,99.54825935,69.475
81.01259337,99.54848581,69.4375
81.11199532,99.54871187,69.4
81.21139728,99.54893753,69.3625
81.31079923,99.5491628,69.325
81.41020119,99.54938767,69.2875
81.50960315,99.54961215,69.25
81.6090051,99.54983624,69.2125
81.70840706,99.55005994,69.175
81.80780901,99.55028324,69.1375
81.90721097,99.55050616,69.1
82.00661292,99.55072869,69.0625
82.10601488,99.55095084,69.025
82.20541683,99.5511726,68.9875
82.30481879,99.55139398,68.95
82.40422074,99.55161497,68.9125
82.5036227,99.55183559,68.875
82.60302465,99.55205582,68.8375
82.70242661,99.55227567,68.8
82.80182856,99.55249514,68.7625
82.90123052,99.55271424,68.725
83.00063247,99.55293296,68.6875
83.10003443,99.55315131,68.65
83.19943638,99.55336928,68.6125
83.29883834,99.55358688,68.575
83.39824029,99.55380411,68.5375
83.49764225,99.55402096,68.5
83.5970442,99.55423745,68.4625
83.69644616,99.55445357,68.425
83.79584811,99.55466932,68.3875
