h2_co_molar_ratio,inlet_temperature_c,inlet_pressure_bar_abs,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,outlet_co_conversion_pct,outlet_ch4_yield_pct,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
5.0,350.0,1.0,35.099999999999994,0.32,1.6,0.799,89.26804419048064,74.90088796249633,0.9999999380499276,0.006195007241331041,completed,,221,The solver successfully reached the end of the integration interval.
1.0,370.0,1.0,35.099999999999994,0.32,0.32,0.799,37.42911913040139,25.456414550381147,0.9999999664845292,0.003351547085912898,completed,,371,The solver successfully reached the end of the integration interval.
1.4,370.0,1.0,35.099999999999994,0.32,0.44799999999999995,0.799,51.95473203242826,35.550462224891774,0.9999999643615598,0.003563844016753137,completed,,297,The solver successfully reached the end of the integration interval.
1.8,370.0,1.0,35.099999999999994,0.32,0.5760000000000001,0.799,64.31063853008607,44.68816421867092,0.9999999620618345,0.0037938165478408337,completed,,289,The solver successfully reached the end of the integration interval.
2.2,370.0,1.0,35.099999999999994,0.32,0.7040000000000001,0.799,74.1409950850174,52.66632474405427,0.9999999595655716,0.004043442837428302,completed,,279,The solver successfully reached the end of the integration interval.
2.6,370.0,1.0,35.099999999999994,0.32,0.8320000000000001,0.799,81.45451457809733,59.41532274900173,0.9999999568701001,0.0043129899859195575,completed,,269,The solver successfully reached the end of the integration interval.
2.9968749999999997,370.0,1.0,35.099999999999994,0.32,0.959,0.799,86.53838183771498,64.95041248101894,0.9999999540090424,0.004599095758749172,completed,,253,The solver successfully reached the end of the integration interval.
3.0,370.0,1.0,35.099999999999994,0.32,0.96,0.799,86.57106510844368,64.98973715106841,0.9999999539858215,0.004601417851517908,completed,,253,The solver successfully reached the end of the integration interval.
3.4000000000000004,370.0,1.0,35.099999999999994,0.32,1.088,0.799,89.98404972932993,69.52992326345216,0.9999999509312567,0.004906874324660748,completed,,243,The solver successfully reached the end of the integration interval.
3.8000000000000003,370.0,1.0,35.099999999999994,0.32,1.2160000000000002,0.799,92.19629766306959,73.2079773696714,0.999999947727908,0.005227209199802019,completed,,236,The solver successfully reached the end of the integration interval.
4.2,370.0,1.0,35.099999999999994,0.32,1.344,0.799,93.6141826881042,76.18674518024126,0.9999999443964934,0.005560350662562996,completed,,229,The solver successfully reached the end of the integration interval.
4.6,370.0,1.0,35.099999999999994,0.32,1.472,0.799,94.5214785371217,78.60274638023093,0.9999999409551051,0.005904489487875253,completed,,208,The solver successfully reached the end of the integration interval.
5.0,370.0,1.0,35.099999999999994,0.32,1.6,0.799,95.1000147217642,80.56517146114798,0.9999999374187345,0.006258126551983878,completed,,203,The solver successfully reached the end of the integration interval.
1.0,385.0,1.0,35.099999999999994,0.32,0.32,0.799,40.82884916202503,26.93045971290795,0.9999999659659597,0.003403404029086232,completed,,368,The solver successfully reached the end of the integration interval.
1.4,385.0,1.0,35.099999999999994,0.32,0.44799999999999995,0.799,56.37817048021909,37.53176963862812,0.999999963899675,0.0036100324941799045,completed,,319,The solver successfully reached the end of the integration interval.
1.8,385.0,1.0,35.099999999999994,0.32,0.5760000000000001,0.799,69.30817931058928,47.0706575884077,0.9999999616434907,0.003835650932160206,completed,,304,The solver successfully reached the end of the integration interval.
2.2,385.0,1.0,35.099999999999994,0.32,0.7040000000000001,0.799,79.20362663661682,55.32817658901459,0.9999999591739003,0.004082609972101636,completed,,314,The solver successfully reached the end of the integration interval.
2.6,385.0,1.0,35.099999999999994,0.32,0.8320000000000001,0.799,86.14709340490118,62.25367136385104,0.9999999564878538,0.004351214622147381,completed,,294,The solver successfully reached the end of the integration interval.
